Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Keith Adams,OLB,Clemson,College Stats,11-May,219,4.82,,24,104,,,Tennessee Titans / 7th / 232nd pick / 2001
Hakim Akbar,S,Washington,College Stats,Jun-00,210,4.55,,,,,,New England Patriots / 5th / 163rd pick / 2001
Brian Allen,OLB,Florida State,College Stats,Jun-00,238,4.65,,25,,,,St. Louis Rams / 3rd / 83rd pick / 2001
David Allen,RB,Kansas State,College Stats,9-May,194,4.62,31,15,111,,,
Matt Allen,P,Troy,,3-Jun,246,,,,,,,
Will Allen,CB,Syracuse,College Stats,10-May,192,4.44,39.5,14,121,6.78,3.9,New York Giants / 1st / 22nd pick / 2001
Scotty Anderson,WR,Grambling State,,2-Jun,184,4.57,34.5,,115,,,Detroit Lions / 5th / 148th pick / 2001
Adam Archuleta,S,Arizona State,College Stats,Jun-00,211,4.46,,31,,,,St. Louis Rams / 1st / 20th pick / 2001
Tom Ashworth,OG,Colorado,College Stats,6-Jun,293,5.11,33.5,20,109,7.4,4.3,
Billy Baber,TE,Virginia,College Stats,4-Jun,255,4.76,33,22,106,7.12,4.19,Kansas City Chiefs / 5th / 141st pick / 2001
Jeff Backus,OT,Michigan,,5-Jun,310,5.37,27,25,99,8.27,4.67,Detroit Lions / 1st / 18th pick / 2001
Rodney Bailey,DE,Ohio State,,3-Jun,283,5.1,,,,,,Pittsburgh Steelers / 6th / 181st pick / 2001
Jason Baker,P,Iowa,College Stats,1-Jun,198,,,,,,,
Alex Bannister,WR,East. Kentucky,,5-Jun,201,4.47,30.5,,110,,,Seattle Seahawks / 5th / 140th pick / 2001
Kevan Barlow,RB,Pittsburgh,College Stats,1-Jun,235,4.56,,,,,,San Francisco 49ers / 3rd / 80th pick / 2001
Idrees Bashir,S,Memphis,College Stats,2-Jun,206,4.56,40,22,126,7.14,4.2,Indianapolis Colts / 2nd / 37th pick / 2001
Gary Baxter,CB,Baylor,,2-Jun,204,4.53,37.5,,122,7.39,4.21,Baltimore Ravens / 2nd / 62nd pick / 2001
Jonathan Beasley,QB,Kansas State,College Stats,Jun-00,227,4.85,29.5,,102,7.55,4.38,
Monty Beisel,DE,Kansas State,College Stats,4-Jun,270,4.83,34.5,25,110,7.32,4.28,Kansas City Chiefs / 4th / 107th pick / 2001
Kendrell Bell,ILB,Georgia,College Stats,1-Jun,234,4.64,38.5,24,124,7.25,4.5,Pittsburgh Steelers / 2nd / 39th pick / 2001
Marcus Bell,DT,Memphis,College Stats,1-Jun,319,5.32,,17,98,8.07,4.71,Arizona Cardinals / 4th / 123rd pick / 2001
Michael Bennett,RB,Wisconsin,College Stats,9-May,207,4.38,39.5,13,130,,,Minnesota Vikings / 1st / 27th pick / 2001
Eddie Berlin,WR,New Mexico,,11-May,191,4.43,39.5,,122,6.78,4.08,Tennessee Titans / 5th / 159th pick / 2001
Cory Bird,S,Virginia Tech,College Stats,10-May,217,4.6,,22,,,,Indianapolis Colts / 3rd / 91st pick / 2001
Darvell Bivens,FB,NW State (LA),,10-May,255,4.97,33.5,32,108,7.81,4.38,
Randy Black,S,UNLV,College Stats,Jun-00,205,4.74,35.5,,115,7.14,4.2,
Harold Blackmon,CB,Northwestern,College Stats,11-May,210,4.54,37,17,121,7.03,4.28,Seattle Seahawks / 7th / 210th pick / 2001
Willie Blade,DT,Mississippi State,,3-Jun,316,4.93,,,,,,Dallas Cowboys / 3rd / 93rd pick / 2001
Al Blades,S,Miami (FL),College Stats,1-Jun,209,4.56,,,,,,
Derrick Blaylock,RB,Stephen F. Austin,,10-May,194,4.36,35.5,18,119,7.05,4.09,Kansas City Chiefs / 5th / 150th pick / 2001
David Bobo,OG,TCU,,4-Jun,290,5.28,31,19,106,7.81,4.89,
Fred Booker,CB,LSU,College Stats,9-May,193,4.65,,,,,,
Josh Booty,QB,LSU,College Stats,2-Jun,221,4.9,29.5,,105,7.54,4.48,Seattle Seahawks / 6th / 172nd pick / 2001
Jarvis Borum,OG,North Carolina State,,7-Jun,332,5.05,30.5,25,107,8.08,4.83,
Kyle Vanden Bosch,DE,Nebraska,,4-Jun,270,4.75,36.5,26,119,6.82,4.08,Arizona Cardinals / 2nd / 34th pick / 2001
James Boyd,S,Penn State,College Stats,11-May,207,4.59,32.5,,117,7.29,4.24,Jacksonville Jaguars / 3rd / 94th pick / 2001
Roylin Bradley,OLB,Texas A&M,,1-Jun,243,4.67,34,19,116,7.16,4.28,
Drew Brees,QB,Purdue,College Stats,Jun-00,213,4.83,32,,105,7.09,4.21,San Diego Chargers / 2nd / 32nd pick / 2001
Sean Brewer,TE,San Jose State,College Stats,4-Jun,255,4.73,36,14,117,7.37,4.18,Cincinnati Bengals / 3rd / 66th pick / 2001
Chris Brown,OT,Georgia Tech,College Stats,5-Jun,329,5.33,,30,,,,Tennessee Titans / 3rd / 93rd pick / 2003
Corey Brown,WR,Tulsa,College Stats,Jun-00,202,4.63,39.5,,126,,,
Kenny Bryant,CB,Jackson State,,11-May,190,4.65,37.5,10,117,7.5,4.15,
Correll Buckhalter,RB,Nebraska,College Stats,Jun-00,226,4.53,40,11,123,7.08,4.06,Philadelphia Eagles / 4th / 121st pick / 2001
Derrick Burgess,DE,Mississippi,College Stats,2-Jun,264,4.92,40,24,125,7.85,,Philadelphia Eagles / 3rd / 63rd pick / 2001
Adrian Burnette,WR,Tulane,College Stats,10-May,191,4.63,,,,,,
Jerametrius Butler,CB,Kansas State,College Stats,10-May,173,4.57,36,11,121,7.22,4.4,St. Louis Rams / 5th / 145th pick / 2001
Cecil Caldwell,DT,South Carolina,,1-Jun,268,4.93,,,,,,
John Capel,WR,Florida,,11-May,177,4.39,36.5,,126,,,Chicago Bears / 7th / 208th pick / 2001
Terrence Carroll,S,Oregon State,College Stats,Jun-00,212,4.63,,,,,,
Elliott Carson,TE,Vanderbilt,College Stats,4-Jun,246,4.9,36,16,115,7.52,4.21,
