Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Robert Carswell,S,Clemson,College Stats,Jun-00,214,4.59,34,21,106,7.14,4.18,San Diego Chargers / 7th / 244th pick / 2001
Andre Carter,DE,California,College Stats,4-Jun,249,4.84,38.5,20,132,,4.24,San Francisco 49ers / 1st / 7th pick / 2001
Quincy Carter,QB,Georgia,College Stats,2-Jun,225,4.58,35.5,,113,7.12,4.12,Dallas Cowboys / 2nd / 53rd pick / 2001
Quinton Caver,ILB,Arkansas,College Stats,4-Jun,227,4.67,37.5,23,118,7.66,4.25,Philadelphia Eagles / 2nd / 55th pick / 2001
Derrick Chambers,DT,Florida,,4-Jun,299,4.98,,32,,,,
Chris Chambers,WR,Wisconsin,College Stats,Jun-00,210,4.33,45,,134,,4,Miami Dolphins / 2nd / 52nd pick / 2001
Jeff Chaney,RB,Florida State,College Stats,11-May,193,4.46,,,,,,
Jeff Chase,OG,Texas A&M-Kingsville,,3-Jun,303,5.25,,27,,,,
Patrick Chukwurah,OLB,Wyoming,College Stats,2-Jun,238,4.77,40,24,119,7.34,4.21,Minnesota Vikings / 5th / 157th pick / 2001
Kenny Clark,WR,Central Florida,College Stats,1-Jun,225,4.59,35.5,,121,,,
Nate Clements,CB,Ohio State,College Stats,11-May,209,4.38,,,,,,Buffalo Bills / 1st / 21st pick / 2001
Tay Cody,CB,Florida State,College Stats,9-May,181,4.55,,11,,,,San Diego Chargers / 3rd / 67th pick / 2001
Justin Coleman,QB,Nebraska-Kearney,,4-Jun,238,5.22,29.5,,101,7.78,4.62,
Derek Combs,RB,Ohio State,College Stats,Jun-00,193,4.42,35,8,120,6.96,4.07,Oakland Raiders / 7th / 228th pick / 2001
Jameel Cook,FB,Illinois,College Stats,10-May,226,4.8,29.5,17,108,7.55,4.38,Tampa Bay Buccaneers / 6th / 174th pick / 2001
Chris Cooper,DE,Nebraska-Omaha,,5-Jun,272,4.95,35.5,24,114,7.12,4.21,Oakland Raiders / 6th / 184th pick / 2001
Jarrod Cooper,S,Kansas State,,Jun-00,222,4.45,41.5,,130,6.87,3.9,Carolina Panthers / 5th / 143rd pick / 2001
Dave Costa,OG,Wisconsin,,6-Jun,305,5.34,,17,,,,
Rodney Crayton,CB,Auburn,College Stats,8-May,178,4.6,35.5,13,118,7.25,4.4,
Rick Crowell,OLB,Colorado State,College Stats,3-Jun,242,5.03,31.5,19,109,7.54,4.35,Miami Dolphins / 6th / 188th pick / 2001
Corey Crume,RB,East. Kentucky,,11-May,225,4.76,37,15,115,7.36,4.32,
Alge Crumpler,TE,North Carolina,College Stats,2-Jun,266,4.76,34,22,112,7.38,4.43,Atlanta Falcons / 2nd / 35th pick / 2001
Will Cuthbert,OG,Alabama,,5-Jun,318,5.53,24.5,17,91,8.84,5.06,
Ronney Daniels,WR,Auburn,College Stats,1-Jun,212,4.61,34.5,,118,,,
Leonard Davis,OT,Texas,College Stats,6-Jun,370,5.32,28,33,97,8.72,5.18,Arizona Cardinals / 1st / 2nd pick / 2001
Ennis Davis,DT,USC,,4-Jun,302,5.1,27.5,23,99,7.98,4.87,New Orleans Saints / 7th / 221st pick / 2001
Rick DeMulling,OG,Idaho,,4-Jun,307,5.24,31.5,32,108,7.62,4.6,Indianapolis Colts / 7th / 220th pick / 2001
Anthony Denman,ILB,Notre Dame,,1-Jun,239,4.76,,,,,,Jacksonville Jaguars / 7th / 213th pick / 2001
Ryan Diem,OT,Northern Illinois,,7-Jun,338,5.13,34,,102,7.5,4.46,Indianapolis Colts / 4th / 118th pick / 2001
Tony Dixon,S,Alabama,College Stats,1-Jun,213,4.63,37,17,117,7.38,,Dallas Cowboys / 2nd / 56th pick / 2001
Jason Doering,S,Wisconsin,College Stats,11-May,202,4.73,,,,7.07,4.12,Indianapolis Colts / 6th / 193rd pick / 2001
Char-Ron Dorsey,OT,Florida State,,6-Jun,348,5.99,,16,,,,Dallas Cowboys / 7th / 242nd pick / 2001
Eric Downing,DT,Syracuse,,3-Jun,302,5.23,,27,,,,Kansas City Chiefs / 3rd / 75th pick / 2001
Shawn Draper,OG,Alabama,College Stats,3-Jun,303,5.3,32,17,106,8.1,4.77,Miami Dolphins / 5th / 156th pick / 2001
Patrick Dyson,CB,Utah,College Stats,11-May,192,4.55,31.5,,114,,,
Andre Dyson,CB,Utah,College Stats,10-May,179,4.4,,,119,,,Tennessee Titans / 2nd / 60th pick / 2001
Nijrell Eason,CB,Arizona State,College Stats,1-Jun,201,4.59,34.5,19,119,,,
Ron Edwards,DT,Texas A&M,,3-Jun,293,4.86,,,,,,Buffalo Bills / 3rd / 76th pick / 2001
Heath Evans,FB,Auburn,College Stats,Jun-00,246,4.56,34.5,30,111,7.3,4.24,Seattle Seahawks / 3rd / 82nd pick / 2001
Mario Fatafehi,DT,Kansas State,,2-Jun,295,5.29,,,,,,Arizona Cardinals / 5th / 133rd pick / 2001
Robert Ferguson,WR,Texas A&M,College Stats,1-Jun,205,4.48,36.5,,120,7.24,4.07,Green Bay Packers / 2nd / 41st pick / 2001
Bill Ferrario,OG,Wisconsin,,2-Jun,314,5.3,,17,,,,Green Bay Packers / 4th / 105th pick / 2001
Dauntae' Finger,TE,North Carolina,College Stats,4-Jun,262,5.09,33.5,15,103,7.95,4.59,Tampa Bay Buccaneers / 7th / 205th pick / 2001
Jamar Fletcher,CB,Wisconsin,College Stats,9-May,180,4.48,,,,,,Miami Dolphins / 1st / 26th pick / 2001
Richmond Flowers,WR,Tenn-Chattanooga,,11-May,195,4.55,35.5,,114,6.98,3.96,
Kynan Forney,OG,Hawaii,,2-Jun,312,5.28,27,23,97,8.56,4.7,Atlanta Falcons / 7th / 219th pick / 2001
Shawn Forte,S,Maryland,College Stats,1-Jun,204,4.54,,20,,,,
Curtis Fuller,S,TCU,College Stats,10-May,186,4.45,36,18,114,7.2,4.21,Seattle Seahawks / 4th / 127th pick / 2001
Setema Gali,DE,BYU,,4-Jun,251,4.88,,,,,,
Mike Gandy,OG,Notre Dame,,4-Jun,305,5.2,30.5,,103,8.03,4.71,Chicago Bears / 3rd / 68th pick / 2001
Rod Gardner,WR,Clemson,College Stats,2-Jun,219,4.48,,,,,,Washington Redskins / 1st / 15th pick / 2001
Randy Garner,DE,Arkansas,,4-Jun,277,4.77,,,,,,Atlanta Falcons / 6th / 167th pick / 2001
Roberto Garza,C,Texas A&M-Kingsville,,2-Jun,303,5,32.5,37,114,7.71,4.53,Atlanta Falcons / 4th / 99th pick / 2001
Reggie Germany,WR,Ohio State,College Stats,1-Jun,183,4.39,,,,,,Buffalo Bills / 7th / 214th pick / 2001
Derrick Gibson,S,Florida State,College Stats,2-Jun,218,4.45,,17,,,,Oakland Raiders / 1st / 28th pick / 2001
Jason Glenn,OLB,Texas A&M,College Stats,1-Jun,236,4.94,36,14,115,7.16,4.31,Detroit Lions / 6th / 173rd pick / 2001
Kenneth Grant,CB,Kentucky,,10-May,204,4.53,39,,115,7.15,4.34,
DeLawrence Grant,DE,Oregon State,College Stats,3-Jun,280,4.77,,,,,,Oakland Raiders / 3rd / 89th pick / 2001
Javon Green,WR,Colorado,College Stats,1-Jun,211,4.73,35.5,,113,7.41,4.34,
Morlon Greenwood,OLB,Syracuse,,Jun-00,237,4.69,33.5,21,112,7.62,4.08,Miami Dolphins / 3rd / 88th pick / 2001
Shane Griggs,QB,Michigan,,4-Jun,199,4.83,,,,,,
Latef Grim,WR,Pittsburgh,College Stats,11-May,188,4.6,,,111,7.27,4.33,
Daniel Guy,WR,Jackson State,,2-Jun,211,4.61,38.5,,125,7.35,4.29,
Adam Haayer,OG,Minnesota,,6-Jun,298,5.3,,23,,,,Tennessee Titans / 6th / 199th pick / 2001
Corey Hall,S,Appalachian State,,3-Jun,198,4.5,36.5,14,127,,,Atlanta Falcons / 7th / 215th pick / 2001
Ben Hamilton,C,Minnesota,College Stats,5-Jun,303,5.26,33.5,17,106,7.62,4.62,Denver Broncos / 4th / 113th pick / 2001
Casey Hampton,DT,Texas,College Stats,1-Jun,314,5.25,,34,,,,Pittsburgh Steelers / 1st / 19th pick / 2001
Antoine Harris,TE,Louisville,College Stats,3-Jun,260,4.93,,11,,,,
Nick Harris,P,California,College Stats,2-Jun,221,,,,,,,Denver Broncos / 4th / 120th pick / 2001
Shaunard Harts,S,Boise State,College Stats,Jun-00,200,4.56,34.5,12,119,7.14,,Kansas City Chiefs / 7th / 212th pick / 2001
Edgerton Hartwell,ILB,West. Illinois,,1-Jun,250,4.86,36.5,18,114,7.64,4.56,
Tim Hasselbeck,QB,Boston Col.,College Stats,1-Jun,211,4.83,33,,113,7.27,4.4,
Reggie Hayward,DE,Iowa State,,5-Jun,255,4.91,41,21,127,7.43,4.43,Denver Broncos / 3rd / 87th pick / 2001
Todd Heap,TE,Arizona State,College Stats,5-Jun,252,4.68,,,,,,Baltimore Ravens / 1st / 31st pick / 2001
Jamie Henderson,CB,Georgia,College Stats,1-Jun,202,4.48,40.5,10,125,6.9,4.12,New York Jets / 4th / 101st pick / 2001
Anthony Henry,CB,South Florida,College Stats,1-Jun,198,4.6,41,15,126,6.9,4.2,Cleveland Browns / 4th / 97th pick / 2001
Travis Henry,RB,Tennessee,College Stats,9-May,223,4.61,,23,,,,Buffalo Bills / 2nd / 58th pick / 2001
Anthony Herron,DE,Iowa,,3-Jun,280,5.16,36,26,114,7.58,4.43,
Josh Heupel,QB,Oklahoma,College Stats,2-Jun,215,4.85,37.5,,114,7.18,4.15,Miami Dolphins / 6th / 177th pick / 2001
Renaldo Hill,CB,Michigan State,College Stats,11-May,178,4.68,35.5,10,116,7.07,4.18,Arizona Cardinals / 7th / 202nd pick / 2001
Russ Hochstein,OG,Nebraska,,3-Jun,300,5.4,26.5,16,95,7.85,4.69,Tampa Bay Buccaneers / 5th / 151st pick / 2001
Sedrick Hodge,OLB,North Carolina,,4-Jun,244,4.49,32,21,120,,4.09,New Orleans Saints / 3rd / 70th pick / 2001
Paul Hogan,C,Alabama,,3-Jun,290,5.5,29,26,102,7.78,4.54,
Jabari Holloway,TE,Notre Dame,College Stats,2-Jun,253,4.91,38.5,20,113,7.14,4.4,New England Patriots / 4th / 119th pick / 2001
Menson Holloway,DE,Texas-El Paso,,2-Jun,284,4.9,34.5,19,111,7.54,4.43,San Francisco 49ers / 6th / 191st pick / 2001
Rashad Holman,CB,Louisville,College Stats,11-May,186,4.58,42,6,129,7.09,3.85,San Francisco 49ers / 6th / 179th pick / 2001
Derek Homer,RB,Kentucky,College Stats,8-May,194,4.6,32.5,,113,7.24,4.3,
Margin Hooks,WR,BYU,College Stats,11-May,191,4.5,36,,116,7.08,4.18,
Willie Howard,DT,Stanford,College Stats,3-Jun,295,4.94,,23,,,,Minnesota Vikings / 2nd / 57th pick / 2001
John Howell,S,Colorado State,College Stats,Jun-00,204,4.64,37,14,121,6.87,4.12,Tampa Bay Buccaneers / 4th / 117th pick / 2001
Orlando Huff,OLB,Fresno State,College Stats,2-Jun,245,4.7,,16,,,,Seattle Seahawks / 4th / 104th pick / 2001
Steve Hutchinson,OG,Michigan,College Stats,5-Jun,315,5.15,33.5,31,106,,4.74,Seattle Seahawks / 1st / 17th pick / 2001
Khori Ivy,WR,West Virginia,College Stats,2-Jun,195,4.64,,,,,,
Arnold Jackson,WR,Louisville,College Stats,8-May,167,4.48,41,,127,7.42,4.11,
James Jackson,RB,Miami (FL),College Stats,10-May,210,4.55,,,,,,Cleveland Browns / 3rd / 65th pick / 2001
William James,CB,West. Illinois,,Jun-00,197,4.51,38.5,13,120,,,
Cedric James,WR,TCU,College Stats,2-Jun,204,4.49,43,,134,,,Minnesota Vikings / 4th / 131st pick / 2001
Michael Jameson,S,Texas A&M,College Stats,11-May,186,4.5,34.5,9,118,7.13,4.2,Cleveland Browns / 6th / 165th pick / 2001
Ortege Jenkins,QB,Arizona,College Stats,1-Jun,234,4.82,34.5,,108,7.32,4.4,
Kris Jenkins,DT,Maryland,,5-Jun,318,5.19,31,33,108,7.85,4.4,Carolina Panthers / 2nd / 44th pick / 2001
Jonas Jennings,OT,Georgia,,4-Jun,334,5.31,29.5,31,102,8.08,4.93,Buffalo Bills / 3rd / 95th pick / 2001
Ligarius Jennings,CB,Tennessee State,,9-May,202,4.67,34,11,120,7.07,4.03,
Sly Johnson,WR,Miami (OH),College Stats,9-May,181,4.61,35.5,,115,,,
Jevaris Johnson,TE,Georgia,College Stats,5-Jun,257,4.9,,,,,,
Chad Johnson,WR,Oregon State,College Stats,1-Jun,192,4.57,33,,108,7.51,4.14,Cincinnati Bengals / 2nd / 36th pick / 2001
Rudi Johnson,RB,Auburn,College Stats,10-May,227,4.57,37.5,24,119,7.32,4.22,Cincinnati Bengals / 4th / 100th pick / 2001
Kenyatta Jones,OT,South Florida,,3-Jun,308,5.01,,31,,,,New England Patriots / 4th / 96th pick / 2001
Kevin Jordan,OG,Fresno State,,5-Jun,308,5.07,31.5,20,112,,4.95,
Lamont Jordan,RB,Maryland,College Stats,10-May,234,4.57,,24,,,,New York Jets / 2nd / 49th pick / 2001
Bhawoh Jue,CB,Penn State,College Stats,Jun-00,199,4.54,34.5,,113,7.21,4.27,Green Bay Packers / 3rd / 71st pick / 2001
Kevin Kasper,WR,Iowa,College Stats,Jun-00,199,4.42,43.5,,126,6.56,3.73,Denver Broncos / 6th / 190th pick / 2001
Michael Keathley,OG,TCU,,4-Jun,308,5.24,32.5,28,,,,
Rod Kelly,DE,Northeastern State,,5-Jun,254,4.93,28.5,20,114,7.93,4.55,
Eric Kelly,CB,Kentucky,College Stats,10-May,199,4.46,36,15,120,7.24,4.18,Minnesota Vikings / 3rd / 69th pick / 2001
Robert Kilow,WR,Arkansas State,College Stats,10-May,171,4.44,,,,,,
Andre King,WR,Miami (FL),College Stats,Jun-00,199,4.61,,,,,,Cleveland Browns / 7th / 245th pick / 2001
Dave Klemic,WR,Northeastern (MA),,11-May,188,4.37,36.5,,116,,,
Ross Kolodziej,DE,Wisconsin,College Stats,3-Jun,290,4.87,34.5,25,111,7.37,4.36,New York Giants / 7th / 230th pick / 2001
Justin Kurpeikis,DE,Penn State,College Stats,3-Jun,252,4.97,31.5,22,118,6.82,4.1,
George Layne,FB,TCU,College Stats,11-May,242,4.59,32,,115,7.08,4.19,Kansas City Chiefs / 4th / 108th pick / 2001
David Leaverton,P,Tennessee,College Stats,3-Jun,211,,,,,,,Jacksonville Jaguars / 5th / 142nd pick / 2001
Matt Lehr,OG,Virginia Tech,,2-Jun,290,5.28,31.5,28,111,7.59,4.44,Dallas Cowboys / 5th / 137th pick / 2001
Cleo Lemon,QB,Arkansas State,College Stats,2-Jun,226,4.87,35.5,,106,7.33,4.27,
Damione Lewis,DT,Miami (FL),,3-Jun,293,4.9,,22,,,,St. Louis Rams / 1st / 12th pick / 2001
Victor Leyva,OG,Arizona State,College Stats,3-Jun,313,5.33,30,37,105,8,4.73,Cincinnati Bengals / 5th / 135th pick / 2001
Matt Light,OT,Purdue,College Stats,5-Jun,311,5.29,,26,,7.84,4.49,New England Patriots / 2nd / 48th pick / 2001
Alex Lincoln,ILB,Auburn,College Stats,Jun-00,251,4.77,35,22,111,,,San Francisco 49ers / 7th / 209th pick / 2001
DeAngelo Lloyd,DE,Tennessee,College Stats,5-Jun,264,4.88,,15,,,,
Arther Love,TE,South Carolina State,,4-Jun,236,4.75,36,24,,,,New England Patriots / 6th / 180th pick / 2001
Ken Lucas,CB,Mississippi,College Stats,Jun-00,200,4.45,,,,,,Seattle Seahawks / 2nd / 40th pick / 2001
LaShaun Mack,C,Norfolk State,,3-Jun,299,5.56,26.5,17,92,8.59,4.99,
Brandon Manumaleuna,TE,Arizona,College Stats,2-Jun,275,4.99,30,,106,7.49,4.26,St. Louis Rams / 4th / 129th pick / 2001
Torrance Marshall,ILB,Oklahoma,College Stats,2-Jun,249,4.7,,,,,,Green Bay Packers / 3rd / 72nd pick / 2001
David Martin,WR,Tennessee,College Stats,4-Jun,242,4.76,,,,,,Green Bay Packers / 6th / 198th pick / 2001
Shaun Mason,OG,Michigan State,,5-Jun,302,5.49,,,,,,
Deuce McAllister,RB,Mississippi,College Stats,1-Jun,222,4.41,,,,,,New Orleans Saints / 1st / 23rd pick / 2001
Brent McCaffrey,OG,USC,,4-Jun,282,5.2,,,,,,
Justin McCareins,WR,Northern Illinois,College Stats,2-Jun,209,4.51,41,,129,7.06,3.99,Tennessee Titans / 4th / 124th pick / 2001
Dustin McClintock,FB,Alabama,College Stats,1-Jun,259,5.31,30,7,105,8.1,4.58,
Quentin McCord,WR,Kentucky,College Stats,10-May,191,4.48,36.5,,112,7.17,4.18,Atlanta Falcons / 7th / 236th pick / 2001
Marlon McCree,S,Kentucky,College Stats,11-May,197,4.62,38,10,117,7.36,4.1,Jacksonville Jaguars / 7th / 233rd pick / 2001
Jeff McCurley,C,Pittsburgh,,4-Jun,280,5.25,,,,,,
Kareem McKenzie,OT,Penn State,,6-Jun,328,5.33,33,20,104,7.87,4.8,New York Jets / 3rd / 79th pick / 2001
Mike McMahon,QB,Rutgers,College Stats,2-Jun,207,4.57,37.5,,124,7.12,4.12,Detroit Lions / 5th / 149th pick / 2001
Shad Meier,TE,Kansas State,College Stats,5-Jun,256,4.85,34,20,113,7.14,4.15,Tennessee Titans / 3rd / 90th pick / 2001
Willie Middlebrooks,CB,Minnesota,College Stats,2-Jun,200,4.5,,17,,,,Denver Broncos / 1st / 24th pick / 2001
Romaro Miller,QB,Mississippi,College Stats,Jun-00,205,4.61,35,,110,7.4,4.51,
Shawn Mills,WR,Southern Miss,College Stats,Jun-00,180,4.51,34.5,,116,7.12,4.15,
Snoop Minnis,WR,Florida State,College Stats,1-Jun,171,4.57,37.5,,115,7.06,4.07,Kansas City Chiefs / 3rd / 77th pick / 2001
Travis Minor,RB,Florida State,College Stats,10-May,197,4.44,32,9,115,,,Miami Dolphins / 3rd / 85th pick / 2001
Dwayne Missouri,DE,Northwestern,College Stats,5-Jun,258,5.03,38,21,116,7.5,4.4,Baltimore Ravens / 7th / 231st pick / 2001
Hodges Mitchell,RB,Texas,College Stats,7-May,180,4.53,,,,,,
Freddie Mitchell,WR,UCLA,College Stats,11-May,185,4.46,39.5,,120,6.95,4.06,Philadelphia Eagles / 1st / 25th pick / 2001
Mario Monds,DT,Cincinnati,,3-Jun,342,5.04,28.5,,99,8.06,4.73,Washington Redskins / 6th / 186th pick / 2001
Keon Moore,CB,Southern Miss,College Stats,11-May,193,4.56,37.5,10,119,7.06,4.2,
Zeke Moreno,ILB,USC,College Stats,2-Jun,248,4.76,,24,,7.1,4.31,San Diego Chargers / 5th / 139th pick / 2001
Dan Morgan,ILB,Miami (FL),College Stats,2-Jun,240,4.54,,,,,,Carolina Panthers / 1st / 11th pick / 2001
Quincy Morgan,WR,Kansas State,College Stats,1-Jun,211,4.48,,,,,,Cleveland Browns / 2nd / 33rd pick / 2001
Santana Moss,WR,Miami (FL),College Stats,10-May,184,4.31,,,,,,New York Jets / 1st / 16th pick / 2001
Leonard Myers,CB,Miami (FL),College Stats,10-May,190,4.65,37,13,120,7.21,4.16,New England Patriots / 6th / 200th pick / 2001
Brian Natkin,TE,Texas-El Paso,College Stats,2-Jun,251,4.95,27,20,98,7.78,4.59,
Steve Neal,WR,West. Michigan,College Stats,1-Jun,190,4.59,36,,119,7.18,4.19,
Carl Nesmith,S,Kansas,College Stats,2-Jun,223,4.95,31.5,5,112,,,
Bobby Newcombe,WR,Nebraska,College Stats,10-May,195,4.53,37,,117,6.86,3.98,Arizona Cardinals / 6th / 166th pick / 2001
Richard Newsome,S,Michigan State,College Stats,11-May,203,4.59,,14,,,,
Mathias Nkwenti,OG,Temple,,3-Jun,293,5.57,35.5,29,113,7.66,4.18,Pittsburgh Steelers / 4th / 111th pick / 2001
Dennis Norman,OG,Princeton,,4-Jun,305,5.16,35,25,107,8.08,4.72,Seattle Seahawks / 7th / 222nd pick / 2001
Moran Norris,FB,Kansas,College Stats,1-Jun,250,4.63,31,37,114,7.56,4.5,New Orleans Saints / 4th / 115th pick / 2001
Dan O'Leary,TE,Notre Dame,College Stats,4-Jun,252,5.02,32,16,113,7.4,4.31,Buffalo Bills / 6th / 195th pick / 2001
Ifeanyi Ohalete,S,USC,,2-Jun,221,4.64,,16,,,,
Chukky Okobi,C,Purdue,College Stats,1-Jun,316,5.27,32.5,24,103,7.87,4.61,Pittsburgh Steelers / 5th / 146th pick / 2001
Jesse Palmer,QB,Florida,College Stats,2-Jun,231,4.78,35.5,,112,7.13,4.29,New York Giants / 4th / 125th pick / 2001
Saul Patu,DE,Oregon,,2-Jun,272,5.01,30.5,22,112,7.52,4.43,
Tupe Peko,C,Michigan State,,4-Jun,300,5.36,28,,92,8.1,4.56,New York Jets / 7th / 217th pick / 2001
Devonte Peterson,DE,Catawba,,3-Jun,275,5.02,,31,,,,
Jeremiah Pharms,OLB,Washington,College Stats,Jun-00,257,4.91,32.5,,106,7.37,4.53,Cleveland Browns / 5th / 134th pick / 2001
Ryan Pickett,DT,Ohio State,,2-Jun,309,5.1,,,,,,St. Louis Rams / 1st / 29th pick / 2001
Vitaly Pisetsky,K,Wisconsin,College Stats,10-May,232,,,,,,,
Owen Pochman,K,BYU,College Stats,11-May,179,,,,,,,New England Patriots / 7th / 216th pick / 2001
Carlos Polk,ILB,Nebraska,College Stats,2-Jun,251,4.76,,,,,,San Diego Chargers / 4th / 112th pick / 2001
Tommy Polley,OLB,Florida State,College Stats,4-Jun,234,4.55,,,,,,St. Louis Rams / 2nd / 42nd pick / 2001
Nate Poole,WR,Marshall,College Stats,1-Jun,198,4.79,32.5,,112,7.26,4.22,
Ryan Prince,TE,Weber State,,4-Jun,257,4.99,31,20,102,7.65,4.45,
