Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Anthony Fera,K,Texas,College Stats,1-Jun,211,4.85,,,,,,
Ego Ferguson,DT,LSU,College Stats,3-Jun,315,4.98,,24,,,,Chicago Bears / 2nd / 51st pick / 2014
C.J. Fiedorowicz,TE,Iowa,College Stats,5-Jun,265,4.76,31.5,25,116,7.1,4.26,Houston Texans / 3rd / 65th pick / 2014
Tim Flanders,RB,SMU,,9-May,207,4.75,32,20,113,7.07,,
Cameron Fleming,OT,Stanford,College Stats,5-Jun,323,5.28,23.5,26,97,8.24,5,New England Patriots / 4th / 140th pick / 2014
David Fluellen,RB,Toledo,College Stats,11-May,224,4.72,36.5,,120,6.9,,
Dee Ford,DE,Auburn,College Stats,2-Jun,252,,,,,,,Kansas City Chiefs / 1st / 23rd pick / 2014
Khairi Fortt,OLB,California,College Stats,2-Jun,248,4.7,36,30,120,,,New Orleans Saints / 4th / 126th pick / 2014
Bennie Fowler,WR,Michigan State,College Stats,1-Jun,217,4.52,36,,126,7.06,4.18,
Austin Franklin,WR,New Mexico State,College Stats,11-May,189,4.56,36,7,124,7.07,4.33,
Devonta Freeman,RB,Florida State,College Stats,8-May,206,4.58,31.5,,118,7.11,4.26,Atlanta Falcons / 4th / 103rd pick / 2014
Kyle Fuller,CB,Virginia Tech,College Stats,Jun-00,190,4.49,38.5,12,128,6.9,4.19,Chicago Bears / 1st / 14th pick / 2014
Zach Fulton,OG,Tennessee,College Stats,5-Jun,316,5.16,24.5,25,98,7.87,5.16,Kansas City Chiefs / 6th / 193rd pick / 2014
Tyler Gaffney,RB,Stanford,College Stats,11-May,220,4.49,36.5,,116,6.78,4.18,Carolina Panthers / 6th / 204th pick / 2014
E.J. Gaines,CB,Missouri,College Stats,10-May,190,4.44,,15,,,,St. Louis Rams / 6th / 188th pick / 2014
Phillip Gaines,CB,Rice,College Stats,Jun-00,193,4.38,36.5,11,122,6.62,4.04,Kansas City Chiefs / 3rd / 87th pick / 2014
Jeremy Gallon,WR,Michigan,College Stats,7-May,185,4.49,,15,,,,New England Patriots / 7th / 244th pick / 2014
Jimmy Garoppolo,QB,East. Illinois,,2-Jun,226,4.97,30.5,,110,7.04,4.26,New England Patriots / 2nd / 62nd pick / 2014
James Gayle,DE,Virginia Tech,College Stats,4-Jun,259,4.7,37,26,122,7.19,4.27,
Jeremiah George,ILB,Iowa State,College Stats,11-May,234,4.91,33,28,116,,,New York Jets / 5th / 154th pick / 2014
Justin Gilbert,CB,Oklahoma State,College Stats,Jun-00,202,4.37,35.5,20,126,6.92,,Cleveland Browns / 1st / 8th pick / 2014
Crockett Gillmore,TE,Colorado State,College Stats,6-Jun,260,4.89,33.5,,120,7.42,4.44,Baltimore Ravens / 3rd / 99th pick / 2014
Demetri Goodson,CB,Baylor,College Stats,11-May,194,4.52,37,11,123,6.8,4.34,Green Bay Packers / 6th / 197th pick / 2014
Ryan Grant,WR,Tulane,College Stats,Jun-00,199,4.64,35.5,8,119,6.68,4.11,Washington Redskins / 5th / 142nd pick / 2014
Marion Grice,RB,Arizona State,College Stats,Jun-00,208,4.67,,,,,,San Diego Chargers / 6th / 201st pick / 2014
Xavier Grimble,TE,USC,College Stats,4-Jun,257,4.76,26.5,,113,,,
Ryan Groy,OG,Wisconsin,College Stats,5-Jun,316,5.19,26.5,26,108,7.49,4.47,
Ra'Shede Hageman,DT,Minnesota,College Stats,6-Jun,310,4.92,35.5,32,114,7.87,4.5,Atlanta Falcons / 2nd / 37th pick / 2014
Andre Hal,CB,Vanderbilt,College Stats,10-May,188,4.5,35.5,15,119,7.14,4.27,Houston Texans / 7th / 216th pick / 2014
Jon Halapio,OG,Florida,College Stats,3-Jun,323,5.34,21.5,,100,8.26,4.83,New England Patriots / 6th / 179th pick / 2014
Victor Hampton,CB,South Carolina,College Stats,9-May,197,4.69,33.5,20,118,7.01,4.2,
Jonotthan Harrison,C,Florida,College Stats,3-Jun,304,5.15,27,27,113,7.97,4.86,
Taylor Hart,DE,Oregon,College Stats,6-Jun,281,4.92,,21,,,,Philadelphia Eagles / 5th / 141st pick / 2014
Matt Hazel,WR,Coastal Carolina,,1-Jun,198,4.5,36.5,15,118,7.08,4.2,Miami Dolphins / 6th / 190th pick / 2014
Marcus Heit,LS,Kansas State,,3-Jun,258,4.91,29,,115,,,
Seantrel Henderson,OT,Miami (FL),College Stats,7-Jun,331,5.04,24,,95,8.15,4.77,Buffalo Bills / 7th / 237th pick / 2014
Robert Herron,WR,Wyoming,College Stats,9-May,193,4.48,35.5,18,125,6.84,4.27,Tampa Bay Buccaneers / 6th / 185th pick / 2014
Ryan Hewitt,FB,Stanford,College Stats,4-Jun,246,4.87,33,,109,7.04,4.35,
Jeremy Hill,RB,LSU,College Stats,1-Jun,233,4.56,29,20,113,,,Cincinnati Bengals / 2nd / 55th pick / 2014
Anthony Hitchens,OLB,Iowa,College Stats,Jun-00,240,4.74,31.5,23,116,7.15,4.45,Dallas Cowboys / 4th / 119th pick / 2014
Zach Hocker,K,Arkansas,College Stats,Jun-00,189,4.9,,,,,,Washington Redskins / 7th / 228th pick / 2014
Cody Hoffman,WR,BYU,College Stats,4-Jun,223,4.65,27.5,13,108,6.89,4.2,
Tom Hornsey,P,Memphis,College Stats,3-Jun,221,5.05,,,,,,
Adrian Hubbard,OLB,Alabama,College Stats,6-Jun,257,4.69,38.5,,117,,,
Josh Huff,WR,Oregon,College Stats,11-May,206,4.51,35.5,14,116,,,Philadelphia Eagles / 3rd / 86th pick / 2014
Marqueston Huff,S,Wyoming,College Stats,11-May,196,4.49,35.5,15,118,7.26,4.19,Tennessee Titans / 4th / 122nd pick / 2014
Allen Hurns,WR,Miami (FL),College Stats,1-Jun,198,4.55,31,14,120,7.23,4.5,
James Hurst,OT,North Carolina,College Stats,5-Jun,296,5.59,,,,,,
Carlos Hyde,RB,Ohio State,College Stats,Jun-00,230,4.62,34.5,19,114,,,San Francisco 49ers / 2nd / 57th pick / 2014
Kerry Hyder,DT,Texas Tech,College Stats,2-Jun,290,5.1,29.5,20,108,7.23,4.33,
Louis Nix III,DT,Notre Dame,College Stats,2-Jun,331,5.32,25.5,,97,8.29,4.94,Houston Texans / 3rd / 83rd pick / 2014
Gabe Ikard,C,Oklahoma,College Stats,4-Jun,304,5.13,26,22,103,7.3,4.37,
Andrew Jackson,ILB,Western Kentucky,College Stats,1-Jun,254,4.9,,,,,,Indianapolis Colts / 6th / 203rd pick / 2014
Bennett Jackson,CB,Notre Dame,College Stats,Jun-00,195,4.51,38,13,128,6.75,4,New York Giants / 6th / 187th pick / 2014
Gabe Jackson,OG,Mississippi State,College Stats,3-Jun,336,5.34,29,30,108,8.25,4.78,Oakland Raiders / 3rd / 81st pick / 2014
Nic Jacobs,TE,McNeese State,,5-Jun,269,4.89,,15,,,,
Ja'Wuan James,OT,Tennessee,College Stats,6-Jun,311,5.26,29,22,103,7.42,4.56,Miami Dolphins / 1st / 19th pick / 2014
Kendall James,CB,Maine,,10-May,180,4.44,39,9,,6.81,4.19,Minnesota Vikings / 6th / 184th pick / 2014
Jeff Janis,WR,Saginaw Valley State,,3-Jun,219,4.42,37.5,20,123,6.64,3.98,Green Bay Packers / 7th / 236th pick / 2014
Stanley Jean-Baptiste,CB,Nebraska,College Stats,3-Jun,218,4.61,41.5,13,128,,4.33,New Orleans Saints / 2nd / 58th pick / 2014
Jackson Jeffcoat,DE,Texas,College Stats,3-Jun,247,4.63,36,18,123,6.97,4.18,
Marcel Jensen,TE,Fresno State,College Stats,6-Jun,259,4.85,35,24,115,7.38,4.6,
Timmy Jernigan,DT,Florida State,College Stats,2-Jun,299,5.06,29.5,27,102,,4.83,Baltimore Ravens / 2nd / 48th pick / 2014
Anthony Johnson,DT,LSU,College Stats,2-Jun,308,5.24,24.5,20,102,7.93,4.83,
Dontae Johnson,CB,North Carolina State,College Stats,2-Jun,200,4.41,38.5,12,124,6.82,4.24,San Francisco 49ers / 4th / 129th pick / 2014
Storm Johnson,RB,Central Florida,College Stats,Jun-00,209,4.6,35.5,16,118,,,Jacksonville Jaguars / 7th / 222nd pick / 2014
Wesley Johnson,C,Vanderbilt,College Stats,5-Jun,297,5.11,29,26,111,7.4,4.64,Pittsburgh Steelers / 5th / 173rd pick / 2014
Christian Jones,OLB,Florida State,College Stats,3-Jun,240,4.68,33.5,,115,,,
DaQuan Jones,DT,Penn State,College Stats,4-Jun,322,5.35,27.5,25,101,7.73,4.78,Tennessee Titans / 4th / 112th pick / 2014
Howard Jones,OLB,Shepherd,,2-Jun,235,4.6,40.5,21,124,7.16,4.41,
T.J. Jones,WR,Notre Dame,College Stats,Jun-00,188,4.46,33,,119,6.82,4.27,Detroit Lions / 6th / 189th pick / 2014
Reggie Jordan,FB,Missouri Western State,,3-Jun,240,4.77,30,24,116,7.22,4.3,
Henry Josey,RB,Missouri,College Stats,8-May,194,4.43,34.5,20,118,7.07,4.13,
Lamarcus Joyner,CB,Florida State,College Stats,8-May,184,4.55,37.5,14,124,7.26,4.4,St. Louis Rams / 2nd / 41st pick / 2014
"Odell Beckham, Jr.",WR,LSU,College Stats,11-May,198,4.38,38.5,7,122,6.69,3.94,New York Giants / 1st / 12th pick / 2014
"James Wilder, Jr.",RB,Florida State,College Stats,3-Jun,232,4.65,35,18,121,6.92,4.24,
Devon Kennard,OLB,USC,College Stats,3-Jun,249,4.7,30,23,113,7.25,4.32,New York Giants / 5th / 174th pick / 2014
Zach Kerr,DT,Tennessee,,1-Jun,326,5.06,28.5,28,99,7.93,4.71,
Christian Kirksey,OLB,Iowa,College Stats,2-Jun,233,4.72,32,16,122,,,Cleveland Browns / 3rd / 71st pick / 2014
Cyrus Kouandjio,OT,Alabama,College Stats,7-Jun,322,5.59,27.5,21,96,7.71,4.84,Buffalo Bills / 2nd / 44th pick / 2014
Kenny Ladler,S,Vanderbilt,College Stats,Jun-00,207,4.7,36.5,24,127,,,
Jarvis Landry,WR,LSU,College Stats,11-May,205,4.65,28.5,12,110,,,Miami Dolphins / 2nd / 63rd pick / 2014
Tyler Larsen,C,Utah State,,4-Jun,313,5.17,23.5,36,102,8.22,4.7,
Cody Latimer,WR,Indiana,College Stats,2-Jun,215,4.52,,23,,,,Denver Broncos / 2nd / 56th pick / 2014
Demarcus Lawrence,DE,Boise State,College Stats,3-Jun,251,4.8,34.5,20,113,7.46,4.31,Dallas Cowboys / 2nd / 34th pick / 2014
Nevin Lawson,CB,Utah State,College Stats,9-May,190,4.48,33,16,120,7.12,4.4,Detroit Lions / 4th / 133rd pick / 2014
Marqise Lee,WR,USC,College Stats,Jun-00,192,4.52,38,,127,,4.01,Jacksonville Jaguars / 2nd / 39th pick / 2014
Charles Leno,OG,Boise State,College Stats,4-Jun,303,5.25,29,21,108,7.57,4.4,Chicago Bears / 7th / 246th pick / 2014
A.C. Leonard,TE,Tennessee State,,2-Jun,252,4.5,34,20,128,,,
Richie Leone,P,Houston,College Stats,3-Jun,211,5.1,,,,,,
Taylor Lewan,OT,Michigan,College Stats,7-Jun,309,4.87,30.5,29,117,7.39,4.49,Tennessee Titans / 1st / 11th pick / 2014
Isaiah Lewis,S,Michigan State,College Stats,10-May,211,4.6,36.5,15,122,7.05,4.47,
Brandon Linder,OG,Miami (FL),College Stats,6-Jun,311,5.35,26.5,30,100,,,Jacksonville Jaguars / 3rd / 93rd pick / 2014
Corey Linsley,C,Ohio State,College Stats,3-Jun,296,5.24,27,36,,,,Green Bay Packers / 5th / 161st pick / 2014
Boseko Lokombo,OLB,Oregon,College Stats,2-Jun,225,4.66,,,122,7.15,4.3,
Spencer Long,OG,Nebraska,College Stats,5-Jun,320,5.16,,,,,,Washington Redskins / 3rd / 78th pick / 2014
Craig Loston,S,LSU,College Stats,1-Jun,217,4.65,32.5,12,119,7.15,4.35,
Cornelius Lucas,OT,Kansas State,,8-Jun,316,5.29,,,,,,
Marcus Lucas,WR,Missouri,College Stats,4-Jun,218,4.6,36,20,124,7.07,4.25,
Colt Lyerla,TE,Oregon,College Stats,4-Jun,242,4.61,39,15,128,,,
Aaron Lynch,DE,South Florida,College Stats,5-Jun,249,4.76,,18,,,,San Francisco 49ers / 5th / 150th pick / 2014
Arthur Lynch,TE,Georgia,College Stats,5-Jun,258,4.82,29.5,28,116,7.38,4.35,Miami Dolphins / 5th / 155th pick / 2014
Jordan Lynch,QB,Northern Illinois,College Stats,Jun-00,217,4.76,29.5,,109,6.55,4.2,
Khalil Mack,OLB,Buffalo,College Stats,3-Jun,251,4.65,40,23,128,7.08,4.18,Oakland Raiders / 1st / 5th pick / 2014
Cody Mandell,P,Alabama,College Stats,2-Jun,216,4.89,27,,109,,,
Eathyn Manumaleuna,DT,BYU,College Stats,2-Jun,296,5.16,28,29,101,7.78,4.61,
Johnny Manziel,QB,Texas A&M,College Stats,Jun-00,207,4.68,31.5,,113,6.75,4.03,Cleveland Browns / 1st / 22nd pick / 2014
Cassius Marsh,DE,UCLA,College Stats,4-Jun,252,4.89,32,14,108,7.08,4.25,Seattle Seahawks / 4th / 108th pick / 2014
Kareem Martin,DE,North Carolina,College Stats,6-Jun,272,4.72,35.5,22,129,7.2,4.33,Arizona Cardinals / 3rd / 84th pick / 2014
Marcus Martin,C,USC,College Stats,3-Jun,320,5.38,,23,,,,San Francisco 49ers / 3rd / 70th pick / 2014
Zack Martin,OG,Notre Dame,College Stats,4-Jun,308,5.22,28,29,106,7.65,4.59,Dallas Cowboys / 1st / 16th pick / 2014
Tre Mason,RB,Auburn,College Stats,8-May,207,4.5,38.5,,126,,4.15,St. Louis Rams / 3rd / 75th pick / 2014
Jeff Mathews,QB,Cornell,,4-Jun,223,5.26,25.5,,105,7.14,4.36,
Jake Matthews,OT,Texas A&M,College Stats,5-Jun,308,5.07,30.5,24,105,7.34,4.47,Atlanta Falcons / 1st / 6th pick / 2014
Jordan Matthews,WR,Vanderbilt,College Stats,3-Jun,212,4.46,35.5,21,120,6.95,4.18,Philadelphia Eagles / 2nd / 42nd pick / 2014
Josh Mauro,DE,Stanford,College Stats,6-Jun,271,5.21,32,21,116,7.43,4.51,
A.J. McCarron,QB,Alabama,College Stats,3-Jun,220,4.94,28,,99,7.18,4.34,Cincinnati Bengals / 5th / 164th pick / 2014
Daniel McCullers,DT,Tennessee,College Stats,7-Jun,352,5.18,20.5,27,97,,,Pittsburgh Steelers / 6th / 215th pick / 2014
Dexter McDougle,CB,Maryland,College Stats,10-May,196,4.47,,,,,,New York Jets / 3rd / 80th pick / 2014
Keith McGill,CB,Utah,College Stats,3-Jun,211,4.51,39,,129,7.29,4.18,Oakland Raiders / 4th / 116th pick / 2014
Jerick McKinnon,RB,Georgia Southern,,9-May,209,4.41,40.5,32,132,6.83,4.12,Minnesota Vikings / 3rd / 96th pick / 2014
Zach Mettenberger,QB,LSU,College Stats,5-Jun,224,,,,,,,Tennessee Titans / 6th / 178th pick / 2014
Jack Mewhort,OT,Ohio State,College Stats,6-Jun,309,5.37,26,28,101,7.79,4.64,Indianapolis Colts / 2nd / 59th pick / 2014
Trey Millard,FB,Oklahoma,College Stats,2-Jun,247,4.64,,,,,,San Francisco 49ers / 7th / 245th pick / 2014
Tevin Mims,DE,South Florida,College Stats,4-Jun,260,4.95,27.5,17,109,,,
Terrance Mitchell,CB,Oregon,College Stats,11-May,192,4.63,34,,117,6.57,4,Dallas Cowboys / 7th / 254th pick / 2014
Donte Moncrief,WR,Mississippi,College Stats,2-Jun,221,4.4,39.5,13,132,7.02,4.3,Indianapolis Colts / 3rd / 90th pick / 2014
Zach Moore,DE,Concordia (MN),,5-Jun,269,4.84,33.5,23,123,7.41,4.46,New England Patriots / 6th / 198th pick / 2014
James Morris,ILB,Iowa,College Stats,1-Jun,241,4.8,34.5,18,117,6.94,4.36,
Stephen Morris,QB,Miami (FL),College Stats,2-Jun,213,4.63,30,,111,7.36,4.49,
Morgan Moses,OT,Virginia,College Stats,6-Jun,314,5.35,21.5,,106,7.93,4.95,Washington Redskins / 3rd / 66th pick / 2014
C.J. Mosley,ILB,Alabama,College Stats,2-Jun,234,4.65,35,,118,7.3,4.4,Baltimore Ravens / 1st / 17th pick / 2014
Adam Muema,RB,San Diego State,College Stats,10-May,202,4.56,,,,,,
Jake Murphy,TE,Utah,College Stats,4-Jun,249,4.79,33,24,114,7.18,4.27,
Trent Murphy,DE,Stanford,College Stats,5-Jun,250,4.86,35.5,19,118,6.78,4.2,Washington Redskins / 2nd / 47th pick / 2014
Aaron Murray,QB,Georgia,College Stats,Jun-00,207,4.84,,,,,,Kansas City Chiefs / 5th / 163rd pick / 2014
